"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAS2L3",126.867912327008,-1.9699863831136,0.344718982529095,-5.71138010417463,1.12063634683442e-08,7.57127288819752e-07
"TNFAIP3",27878.3962410909,-2.00041593420518,0.350670060849634,-5.70881976873907,1.13762279163213e-08,7.6571422787149e-07
"ZNF154",629.886544680957,1.7406181625008,0.305485437807671,5.69695072478125,1.21969159892566e-08,8.17220570633178e-07
"COL1A1",13.6014705677005,-2.64634828444842,0.445917896667421,-5.68830725490653,1.28304818425291e-08,8.47664010732992e-07
"ATP6V0C",624.869601916088,-1.25836911704568,0.221451302965675,-5.68220345713136,1.32970341019757e-08,8.75257715300636e-07
"JRKL",570.242024673394,1.56057174491734,0.274660941754062,5.68014138757595,1.34583444434326e-08,8.80405787973325e-07
"SEMA6B",52.6102203182237,-2.36538534193283,0.416165162922382,-5.6799477218129,1.34735917060261e-08,8.80405787973325e-07
"LOC100128164",19.8122310943752,2.41005483193354,0.412542868838461,5.67667264229456,1.37339938998046e-08,8.94157915571279e-07
"CD81-AS1",26.644424819001,-1.50309814014593,0.264296690195019,-5.66384313350679,1.48019733225033e-08,9.53289677575898e-07
"CDCA4",236.254476076866,-1.03708968535343,0.183062605480168,-5.66452532127656,1.47432090964482e-08,9.53289677575898e-07
"ZNF132",67.7705389264991,1.50458315112258,0.265180116134771,5.65834060823007,1.52843571868378e-08,9.80828426785463e-07
"FBXW4P1",44.4308445919118,-1.67063755631919,0.294455678505323,-5.65623716906249,1.54727624163646e-08,9.89372636794972e-07
"TTYH3",1012.94471159719,-1.72911130441741,0.30613319413268,-5.64864996239124,1.61712749228713e-08,1.03035767337753e-06
"ZNF721",1374.61570125625,1.26398699845725,0.223790294378528,5.64758156517872,1.6272063971651e-08,1.03310295513631e-06
"NRIP3",95.461274504762,-2.16680484146351,0.383610410874628,-5.64551432107472,1.64688160628569e-08,1.03823127742743e-06
"BRAT1",577.018601292934,-1.50893521298887,0.267933674368517,-5.63126371792967,1.78893937341349e-08,1.10470248001801e-06
"FANCE",131.313873595372,1.20813224067083,0.21435898970652,5.63122495088054,1.78934159520344e-08,1.10470248001801e-06
"ZC3H12A",1610.0284258328,-1.85800137562266,0.330333216813361,-5.62639250690817,1.84017367928628e-08,1.12830375184731e-06
"PCDH9",110.884540886413,2.17738473400841,0.387063291291982,5.61680396435573,1.94521902920702e-08,1.18459869043954e-06
"SPIB",158.169578927286,1.43829271709157,0.255980558580567,5.6138372596765,1.97888338551581e-08,1.20101451302627e-06
"PNPLA6",1301.26097399807,-1.00631500221471,0.179304660413148,-5.61222390933828,1.99742744511882e-08,1.20817368166917e-06
"WDHD1",148.102728082334,1.19049276067904,0.21212839956907,5.60771841285347,2.05011214259364e-08,1.23586558252514e-06
